decision,majority,crowd,accuracy
1,18,20,1
2,15,20,1
3,16,20,0
4,11,20,0
5,11,20,1
6,15,20,1
7,13,20,0
8,11,20,0
9,14,20,0
10,13,20,1
11,19,20,1
12,10,20,1
13,16,16,1
14,11,16,1
15,12,16,1
16,12,16,1
17,9,16,1
18,13,16,1
19,15,16,1
20,12,16,1
21,11,16,1
22,14,16,0
23,12,16,0
24,10,16,0
25,10,18,0
26,10,18,1
27,12,18,1
28,11,18,1
29,12,18,0
30,10,18,0
31,12,18,1
32,14,18,0
33,11,18,1
34,16,18,1
35,18,18,1
36,17,18,1
37,19,20,1
38,15,20,1
39,14,20,1
40,11,20,0
41,16,20,1
42,10,20,1
43,13,20,1
44,13,20,0
45,20,20,1
46,11,20,1
47,11,20,0
48,19,20,1
49,8,15,1
50,11,15,1
51,10,15,1
52,8,15,0
53,14,15,1
54,14,15,0
55,11,15,1
56,11,15,1
57,9,15,0
58,14,15,1
59,8,15,0
60,9,15,0
61,11,18,1
62,9,18,1
63,17,18,1
64,11,18,0
65,10,18,1
66,13,18,0
67,12,18,1
68,11,18,0
69,11,18,1
70,15,18,0
71,10,18,0
72,17,18,1
73,17,18,0
74,11,18,0
75,9,18,1
76,10,18,1
77,17,18,1
78,13,18,1
79,13,18,1
80,14,18,1
81,16,18,1
82,12,18,1
83,13,18,0
84,12,18,1
85,10,19,0
86,17,19,1
87,10,19,0
88,10,19,1
89,17,19,1
90,15,19,0
91,13,19,0
92,11,19,0
93,10,19,1
94,12,19,0
95,11,19,0
96,18,19,1
97,11,21,0
98,20,21,1
99,16,21,0
100,13,21,1
101,11,21,0
102,11,21,0
103,13,21,1
104,14,21,1
105,20,21,0
106,11,21,1
107,20,21,1
108,21,21,1
109,18,20,1
110,12,20,1
111,14,20,0
112,19,20,1
113,17,20,1
114,15,20,1
115,20,20,1
116,11,20,0
117,11,20,0
118,18,20,0
119,15,20,1
120,16,20,0
121,16,16,1
122,12,16,0
123,10,16,1
124,16,16,1
125,12,16,1
126,12,16,1
127,14,16,1
128,10,16,1
129,9,16,0
130,9,16,0
131,9,16,0
132,15,16,1
133,12,15,0
134,13,15,1
135,13,15,1
136,8,15,1
137,11,15,1
138,11,15,1
139,12,15,1
140,12,15,0
141,9,15,1
142,15,15,1
143,8,15,1
144,8,15,0
145,4,4,1
146,14,14,1
147,2,2,1
148,5,6,0
149,3,4,1
150,1,1,1
151,0,0,0
152,1,1,1
153,33,33,1
154,2,2,1
155,5,9,0
156,14,23,1
157,10,11,1
158,7,8,1
159,20,20,1
160,9,9,1
161,33,33,1
162,3,5,1
163,1,1,1
164,9,9,1
165,5,5,1
166,5,6,1
167,10,10,1
168,1,1,1
169,1,2,0
170,23,23,1
171,1,1,1
172,3,3,1
173,19,19,1
174,15,17,1
175,0,0,0
176,12,12,1
177,10,16,1
178,14,14,1
179,13,25,0
180,28,28,1
181,2,2,1
182,0,0,0
183,5,9,1
184,2,2,0
185,1,2,0
186,14,14,1
187,2,2,1
188,20,20,1
189,1,1,1
190,8,13,1
191,2,2,1
192,2,2,1
193,5,8,1
194,17,18,1
195,3,3,0
196,4,4,1
197,18,18,1
198,1,1,1
199,30,31,1
200,23,23,1
201,6,11,1
202,18,18,0
203,0,0,0
204,4,4,1
205,4,6,0
206,2,3,1
207,8,11,1
208,2,2,1
209,23,23,1
210,1,2,0
211,4,4,1
212,3,3,1
213,1,1,1
214,4,4,1
215,30,30,1
216,9,9,0
217,27,27,1
218,23,23,1
219,9,13,1
220,3,5,0
221,13,13,1
222,4,8,0
223,3,4,1
224,3,4,0
225,4,7,0
226,4,5,1
227,5,6,1
228,12,13,1
229,25,25,1
230,0,0,0
231,24,25,1
232,1,1,0
233,3,3,1
234,14,14,1
235,3,3,1
236,0,0,0
237,20,20,1
238,26,26,1
239,31,31,1
240,4,7,1
241,5,6,1
242,1,1,1
243,0,0,0
244,2,2,1
245,7,11,1
246,11,11,1
247,7,9,1
248,9,14,0
249,6,11,0
250,12,15,1
251,11,12,1
252,6,9,0
253,9,9,1
254,8,8,1
255,5,10,0
256,4,7,0
257,9,10,1
258,13,15,1
259,10,12,1
260,8,10,1
261,7,7,1
262,9,12,0
263,7,11,1
264,12,17,1
265,14,15,1
266,8,11,0
267,7,8,1
268,9,14,1
269,7,11,0
270,7,7,1
271,5,8,1
272,8,9,1
273,13,14,1
274,5,7,1
275,6,9,1
276,12,13,1
277,6,10,0
278,10,13,1
279,9,11,0
280,13,14,1
281,6,11,0
282,5,9,1
283,10,13,1
284,12,13,0
285,5,8,1
286,9,9,1
287,6,11,1
288,11,12,1
289,3,4,1
290,8,13,1
291,5,9,1
292,10,15,1
293,9,12,0
294,10,12,1
295,5,8,1
296,8,16,0
297,9,10,1
298,8,14,0
299,12,14,1
300,12,12,1
301,7,14,0
302,6,6,0
303,8,13,0
304,4,8,0
305,7,8,0
306,9,10,1
307,9,12,1
308,6,10,1
309,7,7,1
310,5,9,1
311,11,18,1
312,11,17,1
313,11,14,1
314,7,12,1
315,10,10,1
316,6,9,0
317,12,12,1
318,7,7,1
319,5,7,1
320,5,9,0
321,8,8,1
322,8,15,0
323,7,10,0
324,14,16,0
325,6,11,0
326,10,12,1
327,10,14,1
328,7,7,1
329,12,13,1
330,9,11,0
331,6,6,1
332,2,4,0
333,12,15,1
334,12,12,1
335,6,9,1
336,4,8,0
337,15,16,1
338,11,11,1
339,13,14,1
340,12,14,1
341,9,11,1
342,5,9,0
343,7,10,1
344,7,13,1
